"section","kind","status","id","name","net_pln","gross_pln","notes"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-120 :: sprzeglo","Bufor 120L (sprzęgło hydrauliczne)","1900.00","2052.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-120 :: na_powrocie","Bufor 120L (na powrocie)","1250.00","1350.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-140 :: sprzeglo","Bufor 140L (sprzęgło hydrauliczne)","2050.00","2214.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-140 :: na_powrocie","Bufor 140L (na powrocie)","1400.00","1512.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-150 :: sprzeglo","Bufor 150L (sprzęgło hydrauliczne)","2050.00","2214.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-150 :: na_powrocie","Bufor 150L (na powrocie)","1400.00","1512.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-200 :: sprzeglo","Bufor 200L (sprzęgło hydrauliczne)","2150.00","2322.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-200 :: na_powrocie","Bufor 200L (na powrocie)","1500.00","1620.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-300 :: sprzeglo","Bufor 300L (sprzęgło hydrauliczne)","2450.00","2646.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-300 :: na_powrocie","Bufor 300L (na powrocie)","1800.00","1944.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-400 :: sprzeglo","Bufor 400L (sprzęgło hydrauliczne)","2850.00","3078.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-400 :: na_powrocie","Bufor 400L (na powrocie)","2200.00","2376.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-500 :: sprzeglo","Bufor 500L (sprzęgło hydrauliczne)","3050.00","3294.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-500 :: na_powrocie","Bufor 500L (na powrocie)","2400.00","2592.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-800 :: sprzeglo","Bufor 800L (sprzęgło hydrauliczne)","3900.00","4212.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-800 :: na_powrocie","Bufor 800L (na powrocie)","3300.00","3564.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-1000 :: sprzeglo","Bufor 1000L (sprzęgło hydrauliczne)","4750.00","5130.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-1000 :: na_powrocie","Bufor 1000L (na powrocie)","4100.00","4428.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Widoczne opcje klienta","Cyrkulacja CWU","wybór klienta","cyrkulacja-tak","Z cyrkulacją CWU","350.00","378.00","line item `ACCESSORY_CIRCULATION`"
"Widoczne opcje klienta","Cyrkulacja CWU","wybór klienta","cyrkulacja-nie","Bez cyrkulacji","0.00","0.00","wariant zerowy"
"Widoczne opcje klienta","Service","wybór klienta","service-cloud","Service Cloud","0.00","0.00","line item `ACCESSORY_SERVICE_CLOUD`"
"Widoczne opcje klienta","Posadowienie","wybór klienta","posadowienie-grunt","Fundament przygotowany samodzielnie","0.00","0.00","wariant bez dopłaty; fundament po stronie inwestora"
"Widoczne opcje klienta","Posadowienie","wybór klienta","posadowienie-sciana","Montaż na konsoli ściennej","300.00","324.00","line item `ACCESSORY_FOUNDATION_WALL`"
"Widoczne opcje klienta","Posadowienie","wybór klienta","posadowienie-eko","Montaż na stojaku","600.00","648.00","line item `ACCESSORY_FOUNDATION_ECO`"
"Widoczne opcje klienta","Reduktor ciśnienia","wybór klienta","reduktor-tak","Z reduktorem ciśnienia","400.00","432.00","line item `ACCESSORY_PRESSURE`"
"Widoczne opcje klienta","Reduktor ciśnienia","wybór klienta","reduktor-nie","Bez reduktora ciśnienia","0.00","0.00","wariant zerowy"
"Widoczne opcje klienta","Uzdatnianie wody","wybór klienta","woda-tak","Stacja kompleksowa","4500.00","4860.00","line item `ACCESSORY_WATER_SOFTENER`"
"Widoczne opcje klienta","Uzdatnianie wody","wybór klienta","woda-filtr","Filtracja podstawowa","200.00","216.00","line item `ACCESSORY_WATER_FILTER`"
"Widoczne opcje klienta","Uzdatnianie wody","wybór klienta","woda-nie","Bez uzdatniania","0.00","0.00","wariant zerowy"
"Narzuty systemowe","Część narzucana przez system","backend / automatycznie doliczane","HYDRAULIC :: split","Komponenty hydrauliczne dla split","3700.00","3996.00","line item `HYDRAULIC` dla pomp split"
"Narzuty systemowe","Część narzucana przez system","backend / automatycznie doliczane","HYDRAULIC :: all-in-one","Komponenty hydrauliczne dla AIO","2700.00","2916.00","line item `HYDRAULIC` dla pomp AIO"
"Narzuty systemowe","Robocizna","backend / automatycznie doliczane","INSTALLATION","Montaż instalacji","11000.00","11880.00","line item `INSTALLATION` przy wybranej pompie"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Akcesorium","katalog only / poza aktywnym runtime","magnetic_filter_standard","Filtr magnetyczny standard","0.00","0.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Akcesorium","katalog only / poza aktywnym runtime","magnetic_filter_premium","Filtr magnetyczny premium","1200.00","1296.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Akcesorium","katalog only / poza aktywnym runtime","hydro_safety_standard","Zabezpieczenia hydrauliczne standard","0.00","0.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Akcesorium","katalog only / poza aktywnym runtime","hydro_safety_extended","Zabezpieczenia hydrauliczne extended","1500.00","1620.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Usługa / chemia","katalog only / poza aktywnym runtime","flushing_standard","Płukanie instalacji + inhibitor standard","800.00","864.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Usługa / chemia","katalog only / poza aktywnym runtime","flushing_premium","Płukanie instalacji + inhibitor premium","1200.00","1296.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Elektryka","katalog only / poza aktywnym runtime","electrical_standard","Zasilanie elektryczne standard","0.00","0.00","pozycja pozostaje w kanonicznym pricebooku, ale nie bierze juz udzialu w aktywnym runtime kalkulatora"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Odwodnienie","katalog only / poza aktywnym runtime","skropliny-z-grzalka","Odprowadzenie skroplin z grzałką","1000.00","1080.00","pozycja pozostaje w kanonicznym pricebooku, ale nie ma aktywnej sciezki runtime ani mapowania DTO"
"Pozycje w katalogu, dziś niewystawione w aktualnym UI","Odwodnienie","katalog only / poza aktywnym runtime","bez","Brak odwodnienia / bez grzałki","0.00","0.00","wariant katalogowy poza aktywnym runtime; brak mapowania DTO i brak wplywu na oferte"
